Ensemble,Weighting,Type,Accuracy,F1 Score,Precision,Recall
C,Performance (Train F1),RC,0.8556,0.8556,0.8556,0.8556
C,Performance (Train Accuracy),RC,0.8556,0.8556,0.8556,0.8556
C,Performance (Train Precision),RC,0.8556,0.8556,0.8556,0.8556
C,Diversity (Train),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
C,Performance (Train F1),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
C,Performance (Train Accuracy),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
C,Diversity (Test),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
C,Performance (Train Precision),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
C,Performance (Train Recall),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
C,Average,SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
B,Diversity (Test),RC,0.83616,0.83616,0.83616,0.83616
B,Performance (Train Precision),RC,0.83616,0.83616,0.83616,0.83616
B,Diversity (Train),RC,0.83616,0.83616,0.83616,0.83616
B,Performance (Train Recall),RC,0.83616,0.83616,0.83616,0.83616
B,Performance (Train Accuracy),RC,0.83616,0.83616,0.83616,0.83616
B,Performance (Train F1),RC,0.83616,0.83616,0.83616,0.83616
B,Average,RC,0.83616,0.83616,0.83616,0.83616
B,Diversity (Test),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
B,Diversity (Train),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
B,Performance (Train Recall),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
B,Performance (Train Accuracy),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
B,Performance (Train F1),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
B,Performance (Train Precision),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
B,Average,SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
