Ensemble,Weighting,Type,Accuracy,F1 Score,Precision,Recall
A,Diversity (Training),SC,0.94668,0.9473060046645847,0.9363131984058763,0.95856
A+C+D,Performance (Train Accuracy),RC,0.94512,0.94512,0.94512,0.94512
A+C+D,Performance (Train F1),RC,0.94512,0.94512,0.94512,0.94512
A+C+D,Performance (Train Precision),RC,0.94504,0.94504,0.94504,0.94504
A+C+D,Performance (Train Recall),RC,0.94504,0.94504,0.94504,0.94504
A+C+D,Average,RC,0.94496,0.94496,0.94496,0.94496
A+B+C,Average,RC,0.94416,0.94416,0.94416,0.94416
A+B+C,Performance (Train Recall),RC,0.9436,0.9436,0.9436,0.9436
A+B+C,Performance (Train F1),RC,0.94352,0.94352,0.94352,0.94352
A+B+C,Performance (Train Accuracy),RC,0.94352,0.94352,0.94352,0.94352
A+B+C,Performance (Train Precision),RC,0.94336,0.94336,0.94336,0.94336
A+B+D,Performance (Train Precision),RC,0.93992,0.93992,0.93992,0.93992
A+B+D,Performance (Train F1),RC,0.93984,0.93984,0.93984,0.93984
A+B+D,Performance (Train Accuracy),RC,0.93984,0.93984,0.93984,0.93984
A+B+D,Performance (Train Recall),RC,0.93952,0.93952,0.93952,0.93952
A+B+D,Average,RC,0.93928,0.93928,0.93928,0.93928
A+B+C+D,Performance (Train Precision),RC,0.93408,0.93408,0.93408,0.93408
A+B+C+D,Performance (Train F1),RC,0.934,0.934,0.934,0.934
A+B+C+D,Performance (Train Recall),RC,0.934,0.934,0.934,0.934
A+B+C+D,Performance (Train Accuracy),RC,0.934,0.934,0.934,0.934
A+B+C+D,Average,RC,0.93392,0.93392,0.93392,0.93392
B+C+D,Performance (Train Precision),RC,0.8776,0.8776,0.8776,0.8776
B+C+D,Diversity (Training),RC,0.8776,0.8776,0.8776,0.8776
B+C+D,Performance (Train Accuracy),RC,0.87744,0.87744,0.87744,0.87744
B+C+D,Performance (Train F1),RC,0.87744,0.87744,0.87744,0.87744
B+C+D,Performance (Train Recall),RC,0.87736,0.87736,0.87736,0.87736
B+C+D,Average,RC,0.87732,0.8773249070037199,0.8772898168146548,0.87736
B+C+D,Average,SC,0.87692,0.8775518325440725,0.8730699184416818,0.88208
B+C+D,Diversity (Training),SC,0.8766,0.8774188421345412,0.8716349569748164,0.88328
B+C+D,Performance (Train Recall),SC,0.87652,0.8771343283582089,0.8727920792079208,0.88152
B+C+D,Performance (Train Precision),SC,0.87648,0.8770406944333837,0.8730775328999524,0.88104
B+C+D,Performance (Train Accuracy),SC,0.87636,0.876965330573578,0.8726927037946606,0.88128
B+C+D,Performance (Train F1),SC,0.87636,0.876965330573578,0.8726927037946606,0.88128
C+D,Diversity (Training),RC,0.87296,0.87296,0.87296,0.87296
C+D,Diversity (Training),SC,0.87228,0.8725094829307247,0.8709445994420087,0.87408
C+D,Average,RC,0.87176,0.87176,0.87176,0.87176
C+D,Performance (Train Recall),RC,0.87152,0.87152,0.87152,0.87152
C+D,Performance (Train F1),RC,0.87136,0.87136,0.87136,0.87136
C+D,Performance (Train Accuracy),RC,0.87136,0.87136,0.87136,0.87136
C+D,Performance (Train Precision),RC,0.8712,0.8712,0.8712,0.8712
B+C,Performance (Train Recall),RC,0.87064,0.87064,0.87064,0.87064
B+C,Diversity (Training),RC,0.87064,0.87064,0.87064,0.87064
B+C,Average,RC,0.87064,0.87064,0.87064,0.87064
B+C,Performance (Train Accuracy),RC,0.87064,0.87064,0.87064,0.87064
B+C,Performance (Train F1),RC,0.87064,0.87064,0.87064,0.87064
B+C,Performance (Train Precision),RC,0.87064,0.87064,0.87064,0.87064
C+D,Average,SC,0.87048,0.87048,0.87048,0.87048
C+D,Performance (Train Recall),SC,0.86984,0.8697879151660665,0.8701361088871097,0.86944
C+D,Performance (Train Accuracy),SC,0.8698,0.8697322607756033,0.8701849923920878,0.86928
C+D,Performance (Train F1),SC,0.86976,0.8696974547782936,0.8701153106982703,0.86928
C+D,Performance (Train Precision),SC,0.86944,0.8693563880883766,0.8699134892662608,0.8688
B+D,Performance (Train Accuracy),RC,0.86344,0.86344,0.86344,0.86344
B+D,Performance (Train F1),RC,0.86344,0.86344,0.86344,0.86344
