Ensemble,Weighting,Type,Accuracy,F1 Score,Precision,Recall
A+D,Diversity (Runtime),RC,0.97016,0.97016,0.97016,0.97016
A+B+C,Diversity (Runtime),SC,0.96956,0.9696631453059598,0.966388557806913,0.97296
A+C+D,Diversity (Runtime),SC,0.96944,0.969496127126088,0.9677187948350072,0.97128
A+B+D,Diversity (Runtime),SC,0.9694,0.9695134101143745,0.9659334550940999,0.97312
A+D,Average,SC,0.96872,0.9687998723268433,0.9663323782234957,0.97128
A+D,Performance (Train Recall),SC,0.968,0.9681071599425929,0.9648760330578512,0.97136
A+D,Performance (Train F1),SC,0.96736,0.9674770825029892,0.9640190627482129,0.97096
A+D,Performance (Train Accuracy),SC,0.96736,0.9674770825029892,0.9640190627482129,0.97096
A+D,Performance (Train Precision),SC,0.96696,0.9670785173375847,0.9636219221604448,0.97056
A+C,Average,SC,0.96532,0.9653324803070894,0.9649852106483332,0.96568
A+B+D,Performance (Train Precision),SC,0.9644,0.9645333545867538,0.9609337779895188,0.96816
A+C,Performance (Train Recall),SC,0.96428,0.9642842858856937,0.9641685995361113,0.9644
A+B+D,Performance (Train Accuracy),SC,0.96412,0.9642501295285162,0.9607656262409657,0.96776
A+C,Performance (Train Accuracy),SC,0.96412,0.9641185647425897,0.9641571325706056,0.96408
A+C,Performance (Train F1),SC,0.96412,0.9641185647425897,0.9641571325706056,0.96408
A+B+D,Performance (Train F1),SC,0.96412,0.9642501295285162,0.9607656262409657,0.96776
A+C,Performance (Train Precision),SC,0.96396,0.9639499059736726,0.9642199631793804,0.96368
A+B+D,Performance (Train Recall),SC,0.96392,0.9640551526261257,0.9604573606479276,0.96768
A+B+D,Average,SC,0.96372,0.9638573421000199,0.9602223104406511,0.96752
A+B+C+D,Diversity (Runtime),SC,0.96368,0.9638304652644997,0.9598540145985401,0.96784
A+C,Diversity (Runtime),RC,0.96352,0.96352,0.96352,0.96352
A+C+D,Diversity (Runtime),RC,0.96296,0.96296,0.96296,0.96296
A+B+C,Average,SC,0.9624,0.9624810409515446,0.9604110243747013,0.96456
A+B+C,Performance (Train Recall),SC,0.96176,0.9618393741018681,0.9598470363288719,0.96384
A+D,Performance (Train Precision),RC,0.96168,0.96168,0.96168,0.96168
A+B+C,Performance (Train F1),SC,0.96164,0.9617180950860245,0.95976416221815,0.96368
A+B+C,Performance (Train Accuracy),SC,0.96164,0.9617180950860245,0.95976416221815,0.96368
A+B+C,Performance (Train Precision),SC,0.9616,0.9616766467065868,0.9597609561752988,0.9636
A+D,Performance (Train Accuracy),RC,0.96152,0.96152,0.96152,0.96152
A+D,Performance (Train F1),RC,0.96152,0.96152,0.96152,0.96152
A+D,Performance (Train Recall),RC,0.96128,0.96128,0.96128,0.96128
A+D,Average,RC,0.96072,0.96072,0.96072,0.96072
A+B,Average,RC,0.95552,0.95552,0.95552,0.95552
A+B,Performance (Train Recall),RC,0.95504,0.95504,0.95504,0.95504
A+B,Performance (Train F1),RC,0.95504,0.95504,0.95504,0.95504
A+B,Performance (Train Accuracy),RC,0.95504,0.95504,0.95504,0.95504
A+B,Performance (Train Precision),RC,0.95496,0.95496,0.95496,0.95496
A+C,Diversity (Runtime),SC,0.95488,0.955134834142073,0.9497706059167853,0.96056
A+D,Diversity (Runtime),SC,0.95472,0.9549828998647897,0.949470188201803,0.96056
A+B,Diversity (Runtime),RC,0.95424,0.95424,0.95424,0.95424
A+B,Diversity (Runtime),SC,0.95336,0.9537264862290658,0.9462907544495196,0.96128
A+C+D,Performance (Train Precision),SC,0.95332,0.9535226412840018,0.9494012213498295,0.95768
A+C+D,Performance (Train Accuracy),SC,0.95328,0.9534846674631621,0.9493259318001586,0.95768
A+C+D,Performance (Train F1),SC,0.95324,0.9534466966667994,0.9492506541907858,0.95768
A+C+D,Average,SC,0.9532,0.9534087288945524,0.949175388518871,0.95768
A+B,Performance (Train Precision),SC,0.95316,0.9535335899369073,0.9459885048421384,0.9612
A+C+D,Performance (Train Recall),SC,0.95312,0.9533253683791318,0.9491673275178429,0.95752
A+B,Performance (Train F1),SC,0.95308,0.953457921675991,0.9458395654569787,0.9612
A+B,Performance (Train Accuracy),SC,0.95308,0.953457921675991,0.9458395654569787,0.9612
A+B,Performance (Train Recall),SC,0.95296,0.9533370367431157,0.9457565737679106,0.96104
A+B,Average,SC,0.95284,0.9532235667526284,0.9455332546241637,0.96104
A+C,Average,RC,0.94984,0.94984,0.94984,0.94984
A+B+C,Diversity (Runtime),RC,0.94928,0.94928,0.94928,0.94928
A+C,Performance (Train Recall),RC,0.94896,0.94896,0.94896,0.94896
A+C,Performance (Train Precision),RC,0.9488,0.9488,0.9488,0.9488
A+C,Performance (Train Accuracy),RC,0.9488,0.9488,0.9488,0.9488
A+B+C+D,Performance (Train Precision),SC,0.9488,0.9490648627138878,0.9441805225653207,0.954
A+C,Performance (Train F1),RC,0.9488,0.9488,0.9488,0.9488
A+B+C+D,Performance (Train F1),SC,0.94876,0.9490270980064462,0.9441057715145278,0.954
A+B+C+D,Performance (Train Accuracy),SC,0.94876,0.9490270980064462,0.9441057715145278,0.954
A+B+C+D,Performance (Train Recall),SC,0.94848,0.9487505968486392,0.9437935402153261,0.95376
A+B+C+D,Average,SC,0.9484,0.94866693195384,0.943784639746635,0.9536
A,Average,RC,0.94688,0.94688,0.94688,0.94688
A,Diversity (Runtime),RC,0.94688,0.94688,0.94688,0.94688
A,Performance (Train Accuracy),RC,0.94688,0.94688,0.94688,0.94688
A,Performance (Train F1),RC,0.94688,0.94688,0.94688,0.94688
A,Performance (Train Precision),RC,0.94688,0.94688,0.94688,0.94688
A,Performance (Train Recall),RC,0.94688,0.94688,0.94688,0.94688
A,Performance (Train F1),SC,0.94668,0.9473060046645847,0.9363131984058763,0.95856
A,Performance (Train Accuracy),SC,0.94668,0.9473060046645847,0.9363131984058763,0.95856
A,Performance (Train Precision),SC,0.94668,0.9473060046645847,0.9363131984058763,0.95856
A,Performance (Train Recall),SC,0.94668,0.9473060046645847,0.9363131984058763,0.95856
A,Average,SC,0.94668,0.9473060046645847,0.9363131984058763,0.95856
A,Diversity (Runtime),SC,0.94668,0.9473060046645847,0.9363131984058763,0.95856
A+C+D,Performance (Train Accuracy),RC,0.94512,0.94512,0.94512,0.94512
A+C+D,Performance (Train F1),RC,0.94512,0.94512,0.94512,0.94512
A+C+D,Performance (Train Precision),RC,0.94504,0.94504,0.94504,0.94504
A+C+D,Performance (Train Recall),RC,0.94504,0.94504,0.94504,0.94504
A+B+D,Diversity (Runtime),RC,0.94496,0.94496,0.94496,0.94496
A+C+D,Average,RC,0.94496,0.94496,0.94496,0.94496
A+B+C+D,Diversity (Runtime),RC,0.94232,0.94232,0.94232,0.94232
A+B+C,Average,RC,0.94096,0.94096,0.94096,0.94096
A+B+C,Performance (Train Recall),RC,0.94032,0.94032,0.94032,0.94032
A+B+C,Performance (Train F1),RC,0.94024,0.94024,0.94024,0.94024
A+B+C,Performance (Train Accuracy),RC,0.94024,0.94024,0.94024,0.94024
A+B+C,Performance (Train Precision),RC,0.94016,0.94016,0.94016,0.94016
A+B+D,Performance (Train Precision),RC,0.93744,0.93744,0.93744,0.93744
A+B+D,Performance (Train F1),RC,0.93728,0.93728,0.93728,0.93728
A+B+D,Performance (Train Accuracy),RC,0.93728,0.93728,0.93728,0.93728
A+B+D,Performance (Train Recall),RC,0.93696,0.93696,0.93696,0.93696
A+B+D,Average,RC,0.93672,0.93672,0.93672,0.93672
A+B+C+D,Performance (Train Precision),RC,0.93352,0.93352,0.93352,0.93352
A+B+C+D,Average,RC,0.93352,0.93352,0.93352,0.93352
A+B+C+D,Performance (Train F1),RC,0.93344,0.93344,0.93344,0.93344
A+B+C+D,Performance (Train Accuracy),RC,0.93344,0.93344,0.93344,0.93344
A+B+C+D,Performance (Train Recall),RC,0.93336,0.93336,0.93336,0.93336
B+C+D,Diversity (Runtime),SC,0.87644,0.8771231950356021,0.8723000237360551,0.882
B+C+D,Performance (Train Recall),SC,0.87584,0.8763445143813242,0.8727979685764164,0.87992
B+C+D,Average,SC,0.87572,0.8762693640237346,0.8724129728015225,0.88016
B+C+D,Performance (Train F1),SC,0.87564,0.8761206518707415,0.8727474795586251,0.87952
B+C+D,Performance (Train Accuracy),SC,0.87564,0.8761206518707415,0.8727474795586251,0.87952
B+C+D,Performance (Train Precision),RC,0.8756,0.8756,0.8756,0.8756
B+C+D,Performance (Train Accuracy),RC,0.8756,0.8756,0.8756,0.8756
B+C+D,Performance (Train F1),RC,0.87552,0.87552,0.87552,0.87552
B+C+D,Performance (Train Recall),RC,0.87552,0.87552,0.87552,0.87552
B+C+D,Average,RC,0.87552,0.87552,0.87552,0.87552
B+C+D,Performance (Train Precision),SC,0.87532,0.8757820906228829,0.8725482410863178,0.87904
B+C+D,Diversity (Runtime),RC,0.87312,0.87312,0.87312,0.87312
C+D,Average,RC,0.87176,0.87176,0.87176,0.87176
C+D,Diversity (Runtime),RC,0.8716,0.8716,0.8716,0.8716
C+D,Performance (Train Recall),RC,0.87152,0.87152,0.87152,0.87152
C+D,Performance (Train F1),RC,0.87136,0.87136,0.87136,0.87136
C+D,Performance (Train Accuracy),RC,0.87136,0.87136,0.87136,0.87136
C+D,Performance (Train Precision),RC,0.8712,0.8712,0.8712,0.8712
C+D,Average,SC,0.87048,0.87048,0.87048,0.87048
C+D,Diversity (Runtime),SC,0.87024,0.8702088501240298,0.8704178005442612,0.87
C+D,Performance (Train Recall),SC,0.86984,0.8697879151660665,0.8701361088871097,0.86944
C+D,Performance (Train Accuracy),SC,0.8698,0.8697322607756033,0.8701849923920878,0.86928
C+D,Performance (Train F1),SC,0.86976,0.8696974547782936,0.8701153106982703,0.86928
B+C,Diversity (Runtime),RC,0.8696,0.8696,0.8696,0.8696
C+D,Performance (Train Precision),SC,0.86944,0.8693563880883766,0.8699134892662608,0.8688
B+C,Performance (Train Precision),RC,0.86832,0.86832,0.86832,0.86832
B+C,Performance (Train F1),RC,0.86832,0.86832,0.86832,0.86832
B+C,Performance (Train Accuracy),RC,0.86832,0.86832,0.86832,0.86832
B+C,Performance (Train Recall),RC,0.86832,0.86832,0.86832,0.86832
B+C,Average,RC,0.86832,0.86832,0.86832,0.86832
B+C,Diversity (Runtime),SC,0.86344,0.8633962868117798,0.8636727505603586,0.86312
B+D,Performance (Train Precision),RC,0.86184,0.86184,0.86184,0.86184
B+D,Performance (Train F1),RC,0.86184,0.86184,0.86184,0.86184
B+D,Performance (Train Accuracy),RC,0.86184,0.86184,0.86184,0.86184
B+D,Performance (Train Recall),RC,0.86176,0.86176,0.86176,0.86176
B+D,Average,RC,0.86176,0.86176,0.86176,0.86176
B+D,Diversity (Runtime),SC,0.86132,0.8631321305909755,0.8519990647650222,0.87456
B+D,Diversity (Runtime),RC,0.86008,0.86008,0.86008,0.86008
B+D,Performance (Train Accuracy),SC,0.85992,0.8620173364854216,0.8493012422360249,0.87512
B+D,Performance (Train F1),SC,0.85988,0.8619833733895433,0.8492353078177161,0.87512
B+D,Performance (Train Precision),SC,0.85988,0.8619724969462942,0.8492895411134405,0.87504
B+D,Performance (Train Recall),SC,0.85972,0.8618148863233382,0.8491342495535368,0.87488
B+D,Average,SC,0.8596,0.8617239205798929,0.8488823346786712,0.87496
B+C,Average,SC,0.85696,0.8565698700465265,0.8589124839124839,0.85424
