Ensemble,Weighting,Type,Accuracy,F1 Score,Precision,Recall
A+B+C,Diversity (Runtime),SC,0.97036,0.9704462968133052,0.9676290463692039,0.97328
A+D,Diversity (Runtime),RC,0.97016,0.97016,0.97016,0.97016
A+B+D,Diversity (Runtime),SC,0.96988,0.9699916311321882,0.966409910267609,0.9736
A+C+D,Diversity (Runtime),SC,0.96952,0.9695759801964385,0.9677985015144269,0.97136
A+D,Average,SC,0.96872,0.9687998723268433,0.9663323782234957,0.97128
A+D,Performance (Train Recall),SC,0.968,0.9681071599425929,0.9648760330578512,0.97136
A+D,Performance (Train F1),SC,0.96736,0.9674770825029892,0.9640190627482129,0.97096
A+D,Performance (Train Accuracy),SC,0.96736,0.9674770825029892,0.9640190627482129,0.97096
A+D,Performance (Train Precision),SC,0.96696,0.9670785173375847,0.9636219221604448,0.97056
A+C,Average,SC,0.96532,0.9653324803070894,0.9649852106483332,0.96568
A+B+D,Performance (Train Precision),SC,0.96512,0.9652368043374262,0.9620152574698029,0.96848
A+B+D,Performance (Train Accuracy),SC,0.965,0.9651158154925646,0.9619327664308989,0.96832
A+B+D,Performance (Train F1),SC,0.96496,0.9650745554580974,0.961929740899698,0.96824
A+B+D,Performance (Train Recall),SC,0.96468,0.9648024873440427,0.9614681814570589,0.96816
A+C,Performance (Train Recall),SC,0.96428,0.9642842858856937,0.9641685995361113,0.9644
A+C,Performance (Train Accuracy),SC,0.96412,0.9641185647425897,0.9641571325706056,0.96408
A+C,Performance (Train F1),SC,0.96412,0.9641185647425897,0.9641571325706056,0.96408
A+B+D,Average,SC,0.964,0.9641234154508491,0.9608294930875576,0.96744
A+C,Performance (Train Precision),SC,0.96396,0.9639499059736726,0.9642199631793804,0.96368
A+B+C+D,Diversity (Runtime),SC,0.96392,0.9640608813451271,0.960311160501667,0.96784
A+C,Diversity (Runtime),RC,0.96352,0.96352,0.96352,0.96352
A+C+D,Diversity (Runtime),RC,0.96288,0.96288,0.96288,0.96288
A+B+C,Average,SC,0.9628,0.9628861042381675,0.9606625258799172,0.96512
A+B+C,Performance (Train Recall),SC,0.9622,0.9622829774496109,0.9601752289924332,0.9644
A+B+C,Performance (Train Accuracy),SC,0.96208,0.9621587098834424,0.9601657106437221,0.96416
A+B+C,Performance (Train F1),SC,0.96208,0.9621587098834424,0.9601657106437221,0.96416
A+B+C,Performance (Train Precision),SC,0.962,0.9620788759380489,0.9600860420650096,0.96408
A+D,Performance (Train Precision),RC,0.96168,0.96168,0.96168,0.96168
A+D,Performance (Train Accuracy),RC,0.96152,0.96152,0.96152,0.96152
A+D,Performance (Train F1),RC,0.96152,0.96152,0.96152,0.96152
A+D,Performance (Train Recall),RC,0.96128,0.96128,0.96128,0.96128
A+D,Average,RC,0.96072,0.96072,0.96072,0.96072
A+B,Average,RC,0.96024,0.9602431805455564,0.9601663733802591,0.96032
A+B,Performance (Train Recall),RC,0.95992,0.95992,0.95992,0.95992
A+B,Performance (Train F1),RC,0.95984,0.95984,0.95984,0.95984
A+B,Performance (Train Accuracy),RC,0.95984,0.95984,0.95984,0.95984
A+B,Performance (Train Precision),RC,0.95976,0.95976,0.95976,0.95976
A+B,Diversity (Runtime),RC,0.9592,0.9592,0.9592,0.9592
A+C,Diversity (Runtime),SC,0.95492,0.9551763910432327,0.9497745788183184,0.96064
A+D,Diversity (Runtime),SC,0.95472,0.9549828998647897,0.949470188201803,0.96056
A+B,Diversity (Runtime),SC,0.95388,0.9542224163258824,0.947190037045795,0.96136
A+B,Performance (Train Precision),SC,0.9534,0.9537569959909499,0.9465059481604033,0.96112
A+B,Performance (Train Recall),SC,0.95336,0.9537191394776534,0.9464313849062549,0.96112
A+B,Performance (Train Accuracy),SC,0.95336,0.9537191394776534,0.9464313849062549,0.96112
A+B,Performance (Train F1),SC,0.95336,0.9537191394776534,0.9464313849062549,0.96112
A+C+D,Performance (Train Precision),SC,0.95332,0.9535226412840018,0.9494012213498295,0.95768
A+C+D,Performance (Train Accuracy),SC,0.95328,0.9534846674631621,0.9493259318001586,0.95768
A+C+D,Performance (Train F1),SC,0.95324,0.9534466966667994,0.9492506541907858,0.95768
A+C+D,Average,SC,0.9532,0.9534087288945524,0.949175388518871,0.95768
A+C+D,Performance (Train Recall),SC,0.95312,0.9533253683791318,0.9491673275178429,0.95752
A+B,Average,SC,0.95296,0.9533259247499604,0.9459672337744172,0.9608
A+B+C,Diversity (Runtime),RC,0.9516,0.9516,0.9516,0.9516
A+C,Average,RC,0.94984,0.94984,0.94984,0.94984
A+B+C+D,Performance (Train Precision),SC,0.94944,0.9496695070478618,0.9453781512605042,0.954
A+B+C+D,Performance (Train F1),SC,0.94916,0.9493968228689732,0.9449948482206547,0.95384
A+B+C+D,Performance (Train Accuracy),SC,0.94916,0.9493968228689732,0.9449948482206547,0.95384
A+B+C+D,Performance (Train Recall),SC,0.94904,0.9492834394904459,0.944770206022187,0.95384
A+C,Performance (Train Recall),RC,0.94896,0.94896,0.94896,0.94896
A+C,Performance (Train Precision),RC,0.9488,0.9488,0.9488,0.9488
A+C,Performance (Train Accuracy),RC,0.9488,0.9488,0.9488,0.9488
A+C,Performance (Train F1),RC,0.9488,0.9488,0.9488,0.9488
A+B+C+D,Average,SC,0.94848,0.9487261146496815,0.9442155309033281,0.95328
A+B+D,Diversity (Runtime),RC,0.9476,0.9476,0.9476,0.9476
A,Average,RC,0.94688,0.94688,0.94688,0.94688
A,Performance (Train Accuracy),RC,0.94688,0.94688,0.94688,0.94688
A,Performance (Train F1),RC,0.94688,0.94688,0.94688,0.94688
A,Diversity (Runtime),RC,0.94688,0.94688,0.94688,0.94688
A,Performance (Train Recall),RC,0.94688,0.94688,0.94688,0.94688
A,Performance (Train Precision),RC,0.94688,0.94688,0.94688,0.94688
A,Performance (Train Accuracy),SC,0.94668,0.9473060046645847,0.9363131984058763,0.95856
A,Performance (Train Precision),SC,0.94668,0.9473060046645847,0.9363131984058763,0.95856
A,Performance (Train Recall),SC,0.94668,0.9473060046645847,0.9363131984058763,0.95856
A,Performance (Train F1),SC,0.94668,0.9473060046645847,0.9363131984058763,0.95856
A,Average,SC,0.94668,0.9473060046645847,0.9363131984058763,0.95856
A,Diversity (Runtime),SC,0.94668,0.9473060046645847,0.9363131984058763,0.95856
A+C+D,Performance (Train F1),RC,0.94512,0.94512,0.94512,0.94512
A+C+D,Performance (Train Accuracy),RC,0.94512,0.94512,0.94512,0.94512
A+C+D,Performance (Train Recall),RC,0.94504,0.94504,0.94504,0.94504
A+C+D,Performance (Train Precision),RC,0.94504,0.94504,0.94504,0.94504
A+C+D,Average,RC,0.94496,0.94496,0.94496,0.94496
A+B+C,Average,RC,0.944,0.944,0.944,0.944
A+B+C,Performance (Train Recall),RC,0.94368,0.94368,0.94368,0.94368
A+B+C,Performance (Train Precision),RC,0.9436,0.9436,0.9436,0.9436
A+B+C,Performance (Train F1),RC,0.9436,0.9436,0.9436,0.9436
A+B+C,Performance (Train Accuracy),RC,0.9436,0.9436,0.9436,0.9436
A+B+C+D,Diversity (Runtime),RC,0.94336,0.94336,0.94336,0.94336
A+B+D,Performance (Train Precision),RC,0.93968,0.93968,0.93968,0.93968
A+B+D,Performance (Train F1),RC,0.93944,0.93944,0.93944,0.93944
A+B+D,Performance (Train Accuracy),RC,0.93944,0.93944,0.93944,0.93944
A+B+D,Performance (Train Recall),RC,0.93904,0.93904,0.93904,0.93904
A+B+D,Average,RC,0.93896,0.93896,0.93896,0.93896
A+B+C+D,Performance (Train Precision),RC,0.93392,0.93392,0.93392,0.93392
A+B+C+D,Average,RC,0.93392,0.93392,0.93392,0.93392
A+B+C+D,Performance (Train F1),RC,0.93384,0.93384,0.93384,0.93384
A+B+C+D,Performance (Train Accuracy),RC,0.93384,0.93384,0.93384,0.93384
A+B+C+D,Performance (Train Recall),RC,0.93368,0.93368,0.93368,0.93368
B+C+D,Performance (Train Recall),RC,0.878,0.878,0.878,0.878
B+C+D,Performance (Train F1),RC,0.878,0.878,0.878,0.878
B+C+D,Performance (Train Accuracy),RC,0.878,0.878,0.878,0.878
B+C+D,Average,RC,0.878,0.878,0.878,0.878
B+C+D,Performance (Train Precision),RC,0.87792,0.87792,0.87792,0.87792
B+C+D,Diversity (Runtime),SC,0.87696,0.8777618820537275,0.8720783322804802,0.88352
B+C+D,Diversity (Runtime),RC,0.87672,0.87672,0.87672,0.87672
B+C+D,Performance (Train Accuracy),SC,0.87644,0.8769175598677132,0.8735413193617528,0.88032
B+C+D,Performance (Train F1),SC,0.8764,0.8768826201290939,0.8734719796793142,0.88032
B+C+D,Average,SC,0.87624,0.8768312101910828,0.872662440570523,0.88104
B+C+D,Performance (Train Precision),SC,0.8762,0.8766686590954373,0.8733624454148472,0.88
B+C+D,Performance (Train Recall),SC,0.87608,0.8765933715742511,0.8729768327515075,0.88024
B+C,Diversity (Runtime),RC,0.87456,0.87456,0.87456,0.87456
C+D,Average,RC,0.87176,0.87176,0.87176,0.87176
C+D,Diversity (Runtime),RC,0.8716,0.8716,0.8716,0.8716
C+D,Performance (Train Recall),RC,0.87152,0.87152,0.87152,0.87152
C+D,Performance (Train Accuracy),RC,0.87136,0.87136,0.87136,0.87136
C+D,Performance (Train F1),RC,0.87136,0.87136,0.87136,0.87136
C+D,Performance (Train Precision),RC,0.8712,0.8712,0.8712,0.8712
B+C,Performance (Train Accuracy),RC,0.8708,0.8708,0.8708,0.8708
B+C,Average,RC,0.8708,0.8708,0.8708,0.8708
B+C,Performance (Train Precision),RC,0.8708,0.8708,0.8708,0.8708
B+C,Performance (Train Recall),RC,0.8708,0.8708,0.8708,0.8708
B+C,Performance (Train F1),RC,0.8708,0.8708,0.8708,0.8708
