Ensemble,Weighting,Type,Accuracy,F1 Score,Precision,Recall
A+C,Diversity (Test),RC,0.97016,0.97016,0.97016,0.97016
A+B+D,Diversity (Test),SC,0.96956,0.9696631453059598,0.966388557806913,0.97296
A+B+C,Diversity (Test),SC,0.96944,0.969496127126088,0.9677187948350072,0.97128
A+C+D,Diversity (Test),SC,0.9694,0.9695134101143745,0.9659334550940999,0.97312
A+C+D,Diversity (Train),SC,0.96896,0.9690565435840178,0.9660518365399905,0.97208
A+C,Average,SC,0.96872,0.9687998723268433,0.9663323782234957,0.97128
A+C,Performance (Train Recall),SC,0.968,0.9681071599425929,0.9648760330578512,0.97136
A+C,Diversity (Train),RC,0.96752,0.96752,0.96752,0.96752
A+C,Performance (Train Accuracy),SC,0.96736,0.9674770825029892,0.9640190627482129,0.97096
A+C,Performance (Train F1),SC,0.96736,0.9674770825029892,0.9640190627482129,0.97096
A+B+C,Diversity (Train),SC,0.96708,0.9671312752106713,0.9656272430018342,0.96864
A+C,Performance (Train Precision),SC,0.96696,0.9670785173375847,0.9636219221604448,0.97056
A+B+D,Diversity (Train),SC,0.96648,0.9665842571177925,0.9635872157735729,0.9696
A+B,Average,SC,0.96532,0.9653324803070894,0.9649852106483332,0.96568
A+D,Diversity (Train),RC,0.96504,0.96504,0.96504,0.96504
A+C+D,Performance (Train Precision),SC,0.9644,0.9645333545867538,0.9609337779895188,0.96816
A+B,Performance (Train Recall),SC,0.96428,0.9642842858856937,0.9641685995361113,0.9644
A+C+D,Performance (Train F1),SC,0.96412,0.9642501295285162,0.9607656262409657,0.96776
A+C+D,Performance (Train Accuracy),SC,0.96412,0.9642501295285162,0.9607656262409657,0.96776
A+B,Performance (Train Accuracy),SC,0.96412,0.9641185647425897,0.9641571325706056,0.96408
A+B,Performance (Train F1),SC,0.96412,0.9641185647425897,0.9641571325706056,0.96408
A+B,Performance (Train Precision),SC,0.96396,0.9639499059736726,0.9642199631793804,0.96368
A+C+D,Performance (Train Recall),SC,0.96392,0.9640551526261257,0.9604573606479276,0.96768
A+C+D,Average,SC,0.96372,0.9638573421000199,0.9602223104406511,0.96752
A+B+C+D,Diversity (Test),SC,0.96368,0.9638304652644997,0.9598540145985401,0.96784
A+B,Diversity (Test),RC,0.96352,0.96352,0.96352,0.96352
A+B+C+D,Diversity (Train),SC,0.96324,0.9633820775391481,0.9596729380011114,0.96712
A+B+C,Diversity (Test),RC,0.96296,0.96296,0.96296,0.96296
A+B,Diversity (Train),RC,0.96248,0.96248,0.96248,0.96248
A+B+D,Average,SC,0.9624,0.9624810409515446,0.9604110243747013,0.96456
A+B+D,Performance (Train Recall),SC,0.96176,0.9618393741018681,0.9598470363288719,0.96384
A+C,Performance (Train Precision),RC,0.96168,0.96168,0.96168,0.96168
A+B+D,Performance (Train F1),SC,0.96164,0.9617180950860245,0.95976416221815,0.96368
A+B+D,Performance (Train Accuracy),SC,0.96164,0.9617180950860245,0.95976416221815,0.96368
A+B+D,Performance (Train Precision),SC,0.9616,0.9616766467065868,0.9597609561752988,0.9636
A+C,Performance (Train Accuracy),RC,0.96152,0.96152,0.96152,0.96152
A+C,Performance (Train F1),RC,0.96152,0.96152,0.96152,0.96152
A+C,Performance (Train Recall),RC,0.96128,0.96128,0.96128,0.96128
A+C,Average,RC,0.96072,0.96072,0.96072,0.96072
