Ensemble,Weighting,Type,Accuracy,F1 Score,Precision,Recall
A+C+D,Performance (Train Accuracy),RC,0.94512,0.94512,0.94512,0.94512
A+C+D,Performance (Train Recall),RC,0.94504,0.94504,0.94504,0.94504
A+C+D,Performance (Train Precision),RC,0.94504,0.94504,0.94504,0.94504
A+C+D,Average,RC,0.94496,0.94496,0.94496,0.94496
A+B+C,Average,RC,0.94416,0.94416,0.94416,0.94416
A+B+C+D,Diversity (Runtime),RC,0.9436,0.9436,0.9436,0.9436
A+B+C,Performance (Train Recall),RC,0.9436,0.9436,0.9436,0.9436
A+B+C,Performance (Train F1),RC,0.94352,0.94352,0.94352,0.94352
A+B+C,Performance (Train Accuracy),RC,0.94352,0.94352,0.94352,0.94352
A+B+C,Performance (Train Precision),RC,0.94336,0.94336,0.94336,0.94336
A+B+D,Performance (Train Precision),RC,0.93992,0.93992,0.93992,0.93992
A+B+D,Performance (Train F1),RC,0.93984,0.93984,0.93984,0.93984
A+B+D,Performance (Train Accuracy),RC,0.93984,0.93984,0.93984,0.93984
A+B+D,Performance (Train Recall),RC,0.93952,0.93952,0.93952,0.93952
A+B+D,Average,RC,0.93928,0.93928,0.93928,0.93928
A+B+C+D,Performance (Train Precision),RC,0.93408,0.93408,0.93408,0.93408
A+B+C+D,Performance (Train F1),RC,0.934,0.934,0.934,0.934
A+B+C+D,Performance (Train Recall),RC,0.934,0.934,0.934,0.934
A+B+C+D,Performance (Train Accuracy),RC,0.934,0.934,0.934,0.934
A+B+C+D,Average,RC,0.93392,0.93392,0.93392,0.93392
B+C+D,Performance (Train Precision),RC,0.8776,0.8776,0.8776,0.8776
B+C+D,Performance (Train F1),RC,0.87744,0.87744,0.87744,0.87744
B+C+D,Performance (Train Accuracy),RC,0.87744,0.87744,0.87744,0.87744
B+C+D,Performance (Train Recall),RC,0.87736,0.87736,0.87736,0.87736
B+C+D,Average,RC,0.87732,0.8773249070037199,0.8772898168146548,0.87736
B+C+D,Diversity (Runtime),SC,0.87708,0.8779829263450466,0.8715806070161608,0.88448
B+C+D,Average,SC,0.87692,0.8775518325440725,0.8730699184416818,0.88208
B+C+D,Diversity (Runtime),RC,0.87672,0.87672,0.87672,0.87672
B+C+D,Performance (Train Recall),SC,0.87652,0.8771343283582089,0.8727920792079208,0.88152
B+C+D,Performance (Train Precision),SC,0.87648,0.8770406944333837,0.8730775328999524,0.88104
B+C+D,Performance (Train Accuracy),SC,0.87636,0.876965330573578,0.8726927037946606,0.88128
B+C+D,Performance (Train F1),SC,0.87636,0.876965330573578,0.8726927037946606,0.88128
B+C,Diversity (Runtime),RC,0.87336,0.87336,0.87336,0.87336
C+D,Average,RC,0.87176,0.87176,0.87176,0.87176
C+D,Diversity (Runtime),RC,0.8716,0.8716,0.8716,0.8716
C+D,Performance (Train Recall),RC,0.87152,0.87152,0.87152,0.87152
C+D,Performance (Train Accuracy),RC,0.87136,0.87136,0.87136,0.87136
C+D,Performance (Train F1),RC,0.87136,0.87136,0.87136,0.87136
C+D,Performance (Train Precision),RC,0.8712,0.8712,0.8712,0.8712
B+C,Performance (Train Accuracy),RC,0.87064,0.87064,0.87064,0.87064
B+C,Average,RC,0.87064,0.87064,0.87064,0.87064
B+C,Performance (Train Precision),RC,0.87064,0.87064,0.87064,0.87064
B+C,Performance (Train Recall),RC,0.87064,0.87064,0.87064,0.87064
B+C,Performance (Train F1),RC,0.87064,0.87064,0.87064,0.87064
C+D,Average,SC,0.87048,0.87048,0.87048,0.87048
C+D,Diversity (Runtime),SC,0.87024,0.8702088501240298,0.8704178005442612,0.87
C+D,Performance (Train Recall),SC,0.86984,0.8697879151660665,0.8701361088871097,0.86944
C+D,Performance (Train Accuracy),SC,0.8698,0.8697322607756033,0.8701849923920878,0.86928
C+D,Performance (Train F1),SC,0.86976,0.8696974547782936,0.8701153106982703,0.86928
C+D,Performance (Train Precision),SC,0.86944,0.8693563880883766,0.8699134892662608,0.8688
B+C,Diversity (Runtime),SC,0.86576,0.8659208949260887,0.8648842777334398,0.86696
B+D,Diversity (Runtime),RC,0.86544,0.86544,0.86544,0.86544
B+D,Performance (Train F1),RC,0.86344,0.86344,0.86344,0.86344
B+D,Performance (Train Accuracy),RC,0.86344,0.86344,0.86344,0.86344
B+D,Performance (Train Precision),RC,0.86336,0.86336,0.86336,0.86336
B+D,Performance (Train Recall),RC,0.86336,0.86336,0.86336,0.86336
B+D,Average,RC,0.86328,0.86328,0.86328,0.86328
B+D,Diversity (Runtime),SC,0.863,0.8650459040939359,0.852317726531563,0.87816
B,Performance (Train F1),RC,0.86264,0.86264,0.86264,0.86264
B,Performance (Train Accuracy),RC,0.86264,0.86264,0.86264,0.86264
B,Performance (Train Recall),RC,0.86264,0.86264,0.86264,0.86264
B,Performance (Train Precision),RC,0.86264,0.86264,0.86264,0.86264
B,Diversity (Runtime),RC,0.86264,0.86264,0.86264,0.86264
B,Average,RC,0.86264,0.86264,0.86264,0.86264
B+D,Performance (Train Precision),SC,0.86164,0.863867133692786,0.8501820435355179,0.878
B+D,Performance (Train Accuracy),SC,0.86156,0.8637776990593143,0.8501588285426512,0.87784
B+D,Performance (Train F1),SC,0.86156,0.8637776990593143,0.8501588285426512,0.87784
B+D,Performance (Train Recall),SC,0.86152,0.8637437027707808,0.850092965602727,0.87784
B,Performance (Train Precision),SC,0.86148,0.8628243216478511,0.8545311887014515,0.87128
B,Performance (Train F1),SC,0.86148,0.8628243216478511,0.8545311887014515,0.87128
B,Performance (Train Recall),SC,0.86148,0.8628243216478511,0.8545311887014515,0.87128
B,Performance (Train Accuracy),SC,0.86148,0.8628243216478511,0.8545311887014515,0.87128
B,Average,SC,0.86148,0.8628243216478511,0.8545311887014515,0.87128
B,Diversity (Runtime),SC,0.86148,0.8628243216478511,0.8545311887014515,0.87128
B+D,Average,SC,0.86116,0.8634056117429459,0.8496630779955077,0.8776
B+C,Performance (Train Accuracy),SC,0.85764,0.8574289949124705,0.8587017572013159,0.85616
B+C,Performance (Train Precision),SC,0.85764,0.8574289949124705,0.8587017572013159,0.85616
B+C,Performance (Train F1),SC,0.85764,0.8574289949124705,0.8587017572013159,0.85616
B+C,Performance (Train Recall),SC,0.85764,0.8574289949124705,0.8587017572013159,0.85616
B+C,Average,SC,0.85764,0.8574289949124705,0.8587017572013159,0.85616
D,Average,RC,0.8556,0.8556,0.8556,0.8556
D,Diversity (Runtime),RC,0.8556,0.8556,0.8556,0.8556
D,Performance (Train Precision),RC,0.8556,0.8556,0.8556,0.8556
D,Performance (Train Recall),RC,0.8556,0.8556,0.8556,0.8556
D,Performance (Train Accuracy),RC,0.8556,0.8556,0.8556,0.8556
D,Performance (Train F1),RC,0.8556,0.8556,0.8556,0.8556
D,Performance (Train Precision),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
D,Performance (Train Recall),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
D,Performance (Train F1),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
D,Performance (Train Accuracy),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
D,Average,SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
D,Diversity (Runtime),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
C,Performance (Train Recall),RC,0.83616,0.83616,0.83616,0.83616
C,Performance (Train Precision),RC,0.83616,0.83616,0.83616,0.83616
C,Performance (Train F1),RC,0.83616,0.83616,0.83616,0.83616
C,Performance (Train Accuracy),RC,0.83616,0.83616,0.83616,0.83616
C,Diversity (Runtime),RC,0.83616,0.83616,0.83616,0.83616
C,Average,RC,0.83616,0.83616,0.83616,0.83616
C,Performance (Train Accuracy),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
C,Performance (Train F1),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
C,Performance (Train Recall),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
C,Performance (Train Precision),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
C,Diversity (Runtime),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
C,Average,SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
